rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness
1836,2,12.1,8.66,0.79
1960,5,11.0,9.26,0.71
2552,3,4.1,7.41,0.86
1957,0,8.5,8.43,0.74
2432,1,11.3,8.47,0.55
1591,3,20.7,8.0,0.61
2718,6,11.0,9.43,0.51
2024,2,13.6,8.58,0.8
1935,0,10.8,5.6,0.67
910,2,1.2,7.66,0.75
2000,3,13.2,7.72,0.71
1217,1,4.9,5.84,0.84
1353,1,12.0,4.85,0.57
1229,6,18.9,9.34,0.41
3287,5,16.0,9.51,0.57
2731,3,21.0,9.08,0.59
3144,3,13.3,7.33,0.82
943,4,11.2,5.67,0.59
1849,4,13.8,7.19,0.6
894,0,5.2,4.23,0.83
1313,2,6.2,7.43,0.83
1157,0,13.0,6.94,0.91
2667,4,11.9,9.72,0.78
1522,1,12.3,9.05,0.7
2547,0,5.6,6.98,0.78
2222,4,17.3,9.57,0.65
3412,1,12.0,8.69,0.57
764,2,19.1,7.13,0.7
2681,2,11.5,10.17,0.61
2602,2,10.3,8.03,0.55
1118,2,8.6,5.59,0.74
2504,4,14.2,9.98,0.59
2035,2,10.3,7.57,0.56
1640,3,13.8,9.43,0.66
1223,5,9.7,8.96,0.29
1296,2,11.9,6.09,0.83
3234,2,10.3,7.37,0.57
1800,1,10.8,7.66,0.78
2347,4,3.5,6.63,0.8
1246,2,8.6,7.04,0.69
1254,3,18.4,8.28,0.54
2557,0,5.1,7.95,0.92
855,3,10.3,7.95,0.67
1509,5,11.6,7.52,0.72
1823,2,4.2,7.69,0.73
1877,2,6.5,7.95,0.88
1674,5,11.3,8.34,0.66
2077,3,14.6,8.38,0.73
2284,7,15.2,9.97,0.6
2314,0,12.3,5.88,0.83
1109,4,13.7,8.32,0.71
1601,3,7.8,8.52,0.63
2636,5,1.9,8.85,0.54
2426,3,20.5,9.14,0.68
838,2,13.2,8.77,0.69
2046,1,5.8,6.19,0.32
500,0,14.6,5.75,0.98
1832,2,10.8,8.2,0.62
3128,4,12.2,8.92,0.58
1136,5,24.3,8.82,0.45
1215,2,13.2,7.68,0.51
2334,5,21.3,9.55,0.63
720,2,17.6,9.2,0.38
1357,4,10.8,8.54,0.86
2217,0,4.7,7.5,0.76
1355,3,16.4,6.87,0.81
1634,2,14.7,6.66,0.77
2095,5,16.4,9.03,0.65
1986,1,7.7,7.04,0.74
1562,4,10.0,9.02,0.9
2059,4,9.2,9.18,0.64
1713,1,16.1,7.93,0.48
2120,1,21.5,7.82,0.82
1452,4,11.2,8.32,0.47
1672,2,12.7,9.18,0.51
1107,3,12.1,7.12,0.68
1775,4,15.4,8.63,0.71
1232,0,5.0,8.79,0.61
1020,6,15.1,7.19,0.47
1981,0,3.6,5.18,0.87
1948,3,11.3,8.75,0.72
2348,1,10.8,8.81,0.56
1498,2,19.3,11.3,0.65
2085,3,8.9,5.3,0.75
2185,4,15.2,9.3,0.41
1222,2,10.4,6.36,0.72
1904,4,2.1,10.16,0.52
2054,4,4.9,9.24,0.86
1805,1,10.5,6.93,0.5
500,3,10.1,6.66,0.58
1912,2,7.8,7.91,0.69
3348,4,23.4,9.98,0.73
1547,3,13.0,7.58,0.68
1290,4,15.2,9.11,0.47
2061,1,12.2,6.31,0.55
2018,1,6.4,6.71,0.4
2634,4,15.2,7.46,0.76
919,1,5.1,6.69,0.79
2311,1,9.2,8.09,0.75
2213,3,9.6,6.5,0.7
1700,2,4.2,7.51,0.86
2037,1,7.9,5.77,0.82
2520,1,8.1,7.6,0.81
2410,4,9.5,8.46,0.79
999,1,9.0,6.55,0.78
2374,3,4.5,8.22,0.68
1754,1,0.0,6.96,0.61
1851,1,0.0,5.43,0.43
1851,3,10.9,7.82,0.53
1694,2,12.9,8.42,0.79
2634,5,15.2,10.98,0.53
1741,6,20.9,9.66,0.52
1016,2,12.6,7.37,0.8
1524,2,8.6,7.52,0.42
1925,1,6.2,6.86,0.83
2660,6,21.7,9.66,0.69
2222,1,20.5,10.15,0.71
1204,5,15.3,9.03,0.59
3539,1,12.6,11.45,0.69
1985,4,6.7,8.75,0.73
2692,6,7.1,9.85,0.45
1693,4,19.7,9.2,0.58
2173,2,2.6,8.63,0.87
2387,6,19.2,9.64,0.5
2652,1,18.8,9.59,0.78
2410,3,10.6,7.81,0.62
1579,2,8.4,6.89,0.79
1399,1,10.3,5.35,0.78
2032,3,6.1,6.72,0.73
2453,1,8.7,6.28,0.94
1644,2,15.7,6.29,0.25
2545,0,19.3,5.4,0.77
2816,2,16.2,8.35,0.75
1158,1,15.0,10.12,0.52
1214,4,20.2,10.46,0.38
1701,3,0.6,6.9,0.4
2015,3,12.1,8.99,1.0
1432,6,7.7,8.09,0.25
2746,6,9.8,10.5,0.3
2096,1,8.4,5.65,0.69
1827,3,19.2,9.01,0.86
794,1,7.6,7.59,0.83
878,3,8.7,7.26,0.64
1996,0,7.4,7.61,0.87
500,2,10.2,6.46,0.81
2508,3,3.9,7.34,0.65
1689,2,16.5,6.83,0.49
3415,1,5.0,8.18,0.81
1672,1,13.7,7.13,0.74
1725,1,4.3,6.51,0.73
2496,1,12.7,7.0,0.91
2992,4,12.9,10.96,0.8
653,1,1.7,5.87,0.37
549,3,14.5,8.1,0.34
1364,3,4.1,4.97,0.78
2207,1,8.4,8.76,0.81
2147,4,5.5,8.03,0.43
2548,2,14.3,9.23,0.62
960,5,9.7,9.44,0.71
500,3,11.6,7.85,0.61
2400,2,14.7,8.34,0.86
500,1,4.6,4.92,0.77
1901,0,1.8,8.92,0.8
2355,2,4.9,7.73,0.75
1714,3,17.4,9.96,0.74
1479,1,9.6,7.31,0.84
1688,1,7.1,7.67,0.8
1540,2,4.8,6.32,0.71
856,0,5.7,5.38,0.61
1299,2,8.4,7.47,0.46
2164,3,7.3,11.49,0.82
2025,2,12.2,6.88,0.67
1917,3,7.1,8.09,0.53
1103,2,3.3,8.64,0.53
1672,1,3.0,7.19,0.7
500,2,7.9,5.9,0.7
1924,3,18.3,8.78,0.68
2800,4,20.0,8.91,0.48
768,3,4.1,7.62,0.64
1389,2,5.6,6.83,0.56
2030,2,0.0,9.09,0.72
2676,4,11.8,9.92,0.72
1486,2,6.8,8.4,0.98
1315,2,11.7,6.88,0.49
500,6,10.6,7.05,0.58
1872,6,19.7,7.15,0.31
3229,6,17.1,9.18,0.31
1994,3,10.6,8.8,0.61
1784,0,3.7,6.41,0.62
2025,5,25.1,9.17,0.54
1792,5,13.9,9.0,0.43
1230,1,7.7,6.3,0.6
2376,4,13.9,10.91,0.88
1958,2,0.6,7.69,0.66
1812,3,8.1,7.38,0.71
1117,2,13.8,6.37,0.71
2712,2,14.6,10.27,0.53
2265,4,15.3,10.56,0.76
1412,0,0.0,4.78,0.96
2501,3,10.7,9.76,0.8
1451,3,7.2,10.18,0.55
1252,2,12.7,7.73,0.74
1268,2,11.1,6.94,0.61
560,4,16.8,9.74,0.54
2130,0,6.1,6.07,0.72
518,3,12.0,4.85,0.83
940,2,17.6,6.55,0.88
500,1,16.9,6.59,0.73
1739,1,14.1,8.47,0.67
1694,1,0.4,6.24,1.0
1571,4,10.5,6.85,0.48
1070,5,20.6,10.65,0.8
979,3,11.4,7.66,0.82
2125,4,9.3,8.27,0.56
1414,1,10.0,6.25,0.79
2021,1,6.1,7.93,0.77
1180,5,14.8,7.57,0.45
1926,3,12.4,7.57,0.67
2712,2,7.5,6.53,0.76
2210,6,16.2,9.28,0.59
1511,5,11.7,8.51,0.41
1980,2,7.9,8.58,0.41
1631,7,17.9,7.88,0.4
1805,5,17.0,8.33,0.62
1572,3,11.8,7.14,0.63
1684,4,7.4,9.88,0.52
1948,1,4.5,6.74,0.85
1104,4,19.3,9.9,0.29
1088,3,10.5,8.28,0.81
828,3,8.2,7.42,0.68
679,3,21.5,5.97,0.91
947,2,17.0,6.4,0.66
1911,3,17.0,9.67,0.6
1175,2,10.4,7.73,0.57
2159,2,9.2,7.62,0.88
1824,4,11.7,7.12,0.64
500,1,7.6,4.06,0.72
2258,3,13.8,10.08,0.62
2367,5,18.3,8.66,0.82
1104,2,0.0,6.16,0.73
2094,1,4.6,5.88,0.64
1200,1,6.1,5.51,0.99
1868,2,1.9,7.42,0.52
914,0,9.0,4.19,0.88
544,3,5.7,7.72,0.62
1532,0,13.9,7.07,0.88
1713,2,9.7,6.43,0.67
1521,3,12.1,7.1,0.89
971,0,12.0,7.66,0.62
1520,1,10.7,7.09,0.75
1988,3,12.1,8.15,0.52
1768,2,8.5,6.41,0.86
1927,4,11.8,7.09,0.46
1330,2,6.9,7.07,0.71
2620,2,15.0,7.9,0.71
976,2,12.9,7.24,0.58
2141,2,20.6,9.62,0.79
2627,2,13.0,8.06,0.45
2136,4,13.6,6.96,0.63
1658,7,17.8,9.68,0.58
1430,0,4.5,5.57,0.83
2525,2,16.4,7.98,0.54
803,2,9.6,6.41,0.96
1120,2,0.0,8.49,0.87
1521,5,7.1,7.31,0.76
2666,3,10.7,8.58,0.3
2065,4,5.2,7.51,0.62
1122,3,6.7,6.32,0.82
1582,2,14.3,9.45,0.77
1369,1,13.5,8.12,0.92
1303,0,11.1,5.93,0.81
2485,2,14.3,6.53,0.69
839,2,13.6,7.92,0.6
2926,2,14.1,8.87,0.69
2379,2,12.3,7.13,0.62
2563,0,10.9,5.24,0.79
1475,2,18.6,9.07,0.62
1695,4,11.6,7.14,0.41
796,3,23.0,8.73,0.52
1432,6,13.4,10.18,0.5
2145,2,8.0,8.24,0.58
2707,6,16.7,9.35,0.79
1024,3,9.5,8.83,0.6
1544,2,0.0,6.66,0.39
1694,1,4.7,5.5,0.82
822,3,8.6,6.5,0.35
2213,1,7.2,6.21,0.78
1293,2,1.5,7.73,0.82
1663,1,5.6,7.74,0.53
1483,4,9.7,7.77,0.59
1247,1,5.5,8.98,0.85
1795,2,8.6,5.43,0.89
1649,2,14.6,6.07,0.77
1539,3,16.2,7.88,0.77
1290,4,14.1,7.47,0.47
2023,4,18.0,8.71,0.34
2957,4,13.1,9.88,0.62
1897,2,16.0,10.56,0.35
2497,5,15.9,8.98,0.62
826,3,8.2,6.97,0.62
1910,4,9.6,8.51,0.56
1031,4,15.6,10.34,0.73
766,4,16.6,8.12,0.53
1282,5,9.0,9.0,0.39
2634,1,19.4,8.12,0.76
2465,5,18.5,10.47,0.86
1970,1,7.1,7.64,0.83
727,1,4.1,8.34,0.88
1662,1,1.6,8.39,0.78
2011,1,16.1,7.7,0.84
1922,4,16.9,8.34,0.75
509,2,10.6,9.2,0.72
1176,2,12.2,6.22,0.58
1755,3,0.5,7.92,0.83
2175,6,3.7,9.98,0.65
500,4,15.2,8.17,0.63
1686,2,11.7,7.33,0.69
1900,1,9.9,7.32,0.83
2394,3,19.3,8.97,0.62
2285,4,16.4,11.23,0.87
2207,1,6.7,7.85,0.84
1240,2,7.9,10.19,0.81
500,1,12.1,6.47,0.65
1524,2,13.1,5.77,0.75
2501,5,23.3,9.0,0.49
2775,4,9.2,9.21,0.97
2297,5,9.2,9.23,0.82
2100,3,12.4,6.56,0.65
2065,3,11.8,8.52,0.61
1410,3,17.3,8.49,0.84
1708,3,12.3,7.27,0.89
2968,2,12.6,8.35,0.62
1140,3,2.9,8.61,0.68
2930,4,19.1,10.43,0.73
1574,2,10.4,7.37,0.74
2727,1,0.6,7.68,0.88
815,7,18.4,11.11,0.94
2210,2,6.8,9.48,0.76
1284,1,4.4,8.23,0.94
809,4,14.3,8.89,0.51
1952,3,6.5,6.77,0.85
2506,2,13.1,5.72,0.81
1208,3,9.7,7.96,0.84
750,2,9.9,10.31,0.71
1735,2,12.5,7.45,0.75
1738,3,4.9,5.68,0.56
2183,4,13.2,7.51,0.42
2464,0,15.2,9.13,0.57
1758,2,12.6,5.96,0.79
3098,4,16.1,8.6,0.59
1557,5,6.3,10.34,0.68
671,2,12.4,6.59,0.39
1616,3,11.4,10.12,0.59
1564,0,5.6,7.18,0.49
2472,0,17.3,8.97,0.75
2123,0,0.0,5.64,0.63
1920,1,13.7,7.16,0.64
2270,3,16.0,9.84,0.95
2869,3,4.2,9.73,0.8
2421,3,9.9,6.24,0.63
2332,2,0.0,5.24,0.78
1842,2,6.8,9.3,0.79
2071,6,13.3,10.75,0.66
2674,4,14.4,11.37,0.54
867,3,9.5,7.3,0.6
1555,2,9.3,7.45,0.75
1259,1,9.5,6.32,0.57
2065,1,3.9,7.35,0.48
2661,2,8.4,8.33,0.83
1382,3,7.1,5.88,0.42
500,3,8.6,8.76,0.57
1511,2,8.7,8.68,0.62
2439,6,16.5,10.05,0.51
2176,5,12.8,9.99,0.82
2099,1,7.1,6.56,0.69
1604,2,4.4,7.91,0.7
904,2,3.3,6.42,0.76
2160,0,7.6,7.07,0.74
1216,3,9.7,8.89,0.8
3328,1,11.1,8.7,0.79
2199,3,3.3,8.82,0.85
1393,2,13.8,5.8,0.75
1372,1,5.4,6.55,0.75
1734,2,8.3,7.35,0.39
2581,0,4.5,4.72,0.89
1287,1,7.6,6.92,0.71
3123,0,1.5,9.43,0.77
1834,3,4.0,8.58,0.62
2338,3,14.8,7.85,0.91
1374,4,12.9,8.05,0.3
2054,4,14.1,9.99,0.8
2017,3,14.4,9.32,0.69
500,1,10.8,7.53,0.64
3210,4,9.4,6.72,0.78
2703,4,11.8,7.76,0.46
1521,5,10.2,10.87,0.74
1028,3,13.3,7.38,0.53
2043,2,3.9,7.61,0.62
1860,1,4.8,5.11,0.82
2048,4,13.1,6.1,0.62
1934,1,7.9,4.77,0.83
2154,4,7.5,8.88,0.66
2813,4,0.0,7.2,0.59
2197,5,12.0,10.49,0.62
1065,1,8.9,6.96,0.8
2753,4,15.7,10.14,0.58
2948,5,12.0,10.06,0.68
1013,3,15.6,7.48,0.64
1970,0,6.9,6.9,0.82
500,2,13.7,8.18,0.58
2187,0,12.1,8.08,0.52
1416,3,9.1,8.33,0.71
3146,3,9.0,7.02,0.38
1257,0,9.1,4.99,0.85
617,1,7.3,7.75,0.99
1470,1,18.7,8.87,0.82
500,3,15.1,6.09,0.93
2325,3,13.1,7.96,0.55
500,5,11.2,6.35,0.34
1819,2,18.9,7.63,0.71
500,2,8.1,5.99,0.85
1575,4,14.8,11.84,0.6
2950,3,17.0,9.63,0.89
2052,3,13.9,8.26,1.0
1778,2,11.5,5.68,0.79
1812,2,9.4,8.34,0.9
2130,3,8.7,9.12,0.91
843,1,15.8,7.14,0.55
2214,2,12.1,8.97,0.53
500,2,14.3,6.39,0.58
1359,2,7.9,7.74,0.77
1458,2,8.6,8.17,0.67
2243,1,8.9,7.52,0.94
1815,6,17.1,11.36,0.67
816,1,16.6,9.43,0.8
1110,3,11.4,9.7,0.67
1939,2,4.7,6.58,0.77
1744,2,13.5,8.1,0.7
1394,1,6.7,6.95,0.7
1463,1,8.2,6.09,0.64
2287,4,20.9,9.15,0.68
1437,3,8.7,7.79,0.86
1738,7,13.8,10.28,0.44
3318,1,5.6,6.82,0.63
803,4,8.0,6.67,0.66
503,2,7.3,8.02,0.87
2348,3,12.8,7.68,0.4
1324,4,1.1,7.45,0.75
1577,1,5.2,6.48,0.65
1253,2,8.9,8.32,0.91
1618,5,18.9,9.79,0.41
2918,3,21.4,9.78,0.84
2361,2,5.6,5.81,0.84
2403,1,12.1,9.15,1.0
808,3,14.3,7.52,0.53
994,1,8.9,7.78,0.8
1233,3,11.0,8.89,0.62
2469,2,13.7,7.52,0.71
2161,2,16.1,9.58,1.0
1644,4,11.9,9.78,0.58
1784,3,6.1,8.49,0.4
1317,1,1.1,7.78,0.69
1943,5,16.2,8.87,0.5
2336,1,9.3,7.81,0.55
668,1,7.3,6.07,0.47
2009,4,13.2,8.8,0.82
2452,1,14.5,8.91,0.72
1509,1,13.0,8.32,0.59
2290,2,8.7,7.85,0.58
1726,0,13.4,5.81,0.88
2075,3,8.4,6.5,0.57
1283,1,8.4,5.15,0.63
1926,4,16.9,8.86,0.93
2122,3,16.4,8.37,0.78
1936,0,7.5,7.01,0.56
1086,0,18.0,6.87,0.6
1944,3,12.3,7.46,0.8
2823,2,3.9,7.65,0.82
2114,2,15.9,6.62,0.79
2473,5,11.4,10.9,0.62
1634,3,15.0,8.36,0.55
2324,4,13.8,7.08,0.85
1134,3,9.6,8.25,0.85
2022,5,13.9,9.18,0.77
1105,3,11.3,6.96,0.77
1356,3,10.4,6.9,0.65
1932,3,5.5,5.6,0.62
2008,4,6.4,9.13,0.62
967,1,7.5,7.23,0.93
2537,2,10.5,5.36,0.63
2200,4,10.7,10.81,0.61
1306,3,9.6,6.87,0.74
723,2,13.7,7.7,0.97
1698,2,8.1,7.55,0.77
1487,3,4.4,7.9,0.68
1879,2,13.5,7.59,0.64
1545,3,17.0,9.46,1.0
500,6,18.0,9.48,0.55
1528,4,10.7,7.54,0.49
1586,2,9.6,5.9,0.84
2243,4,10.9,8.76,0.7
1311,1,11.4,7.83,0.61
2975,6,21.1,9.58,0.59
500,1,11.2,7.48,0.82
2717,3,11.4,8.78,0.78
1642,2,10.7,6.71,0.66
2401,4,14.8,10.48,0.72
1855,4,21.9,9.63,0.89
2597,2,14.3,8.83,0.74
1528,4,8.0,7.19,0.76
1030,3,6.8,8.82,0.63
2794,6,24.2,9.77,0.52
1720,5,17.6,9.24,0.56
1955,5,8.8,8.29,0.45
2664,3,7.3,7.9,0.44
1077,1,9.0,6.98,0.84
2216,4,18.5,8.33,0.73
1387,4,8.2,8.53,0.68
1707,3,13.4,6.76,0.48
1850,4,19.7,7.96,0.97
749,1,5.5,6.19,0.54
1254,3,9.9,7.89,0.57
2745,4,25.0,8.96,0.56
2420,3,11.1,9.66,0.59
1756,2,9.9,7.67,0.83
1970,3,12.0,7.16,0.65
1594,3,11.0,8.38,0.51
2749,3,15.5,10.24,0.76
1659,4,14.0,7.84,0.53
1962,1,6.6,6.58,0.64
2602,1,6.4,8.56,0.52
1255,1,10.8,7.95,0.83
2891,3,5.6,8.17,0.5
728,3,15.9,7.21,0.46
2940,0,19.1,6.04,0.97
1539,4,13.9,8.66,0.83
1630,3,4.3,8.71,0.71
500,2,9.8,5.21,0.52
1481,4,10.5,8.94,0.74
1072,2,10.9,5.57,0.59
1374,4,12.7,10.04,0.57
1703,3,17.9,8.0,0.72
2470,2,8.0,7.79,1.0
1945,1,8.9,6.38,0.9
2015,3,7.0,6.3,0.88
1033,1,10.9,5.52,0.67
1183,3,16.0,6.51,0.7
3059,3,18.5,9.83,0.84
1285,4,14.7,8.6,0.64
2959,5,15.3,9.99,0.36
1629,4,9.0,8.54,0.37
1801,3,1.0,9.18,0.53
2549,4,10.0,7.98,0.73
2690,1,8.0,8.49,0.58
1722,0,7.4,5.42,0.87
1528,5,6.0,8.57,0.84
1760,1,7.8,6.75,0.5
2036,3,0.9,6.58,1.0
2423,2,4.0,10.65,0.74
1802,4,18.3,9.7,0.49
2233,3,18.2,6.85,0.82
2946,2,9.6,6.77,0.6
2066,2,11.6,9.1,1.0
2018,3,13.6,10.12,0.57
736,3,13.6,7.3,0.57
500,1,4.7,6.6,0.87
2071,4,13.6,10.84,0.72
1733,0,9.3,4.74,0.59
1439,0,9.1,5.85,0.74
1970,2,6.6,7.73,0.76
1757,3,5.9,9.03,0.65
2589,2,9.4,8.0,1.0
1860,2,3.5,7.63,0.58
1277,2,6.4,7.5,0.78
2493,5,16.3,9.77,1.0
1648,4,18.2,8.03,0.62
2168,3,15.9,7.05,0.53
1465,3,8.3,7.09,0.73
1345,0,6.0,6.52,0.59
1858,5,11.6,9.24,0.44
1808,0,9.0,6.44,0.47
2135,4,8.4,6.23,0.25
1611,5,14.2,6.3,0.77
1497,0,11.0,7.22,0.72
2355,5,8.4,11.26,0.62
1591,5,9.2,9.71,0.34
1627,1,10.7,4.65,0.86
2490,3,12.2,7.92,0.75
1301,4,7.0,9.03,0.79
720,1,0.0,8.03,0.63
1687,2,13.0,7.61,0.59
1461,4,13.4,9.34,0.72
1123,4,11.6,7.97,0.8
1677,3,14.2,10.72,0.75
2144,5,10.0,7.78,0.57
1793,2,12.5,8.78,0.56
2014,2,15.8,6.23,0.65
3069,6,17.1,10.01,0.47
1559,3,4.9,8.12,0.54
1994,1,13.7,8.52,0.71
1443,2,4.8,7.32,0.78
1207,4,11.0,11.19,0.49
1390,4,14.9,8.37,0.69
1464,4,16.5,7.93,0.8
2051,0,7.8,7.01,0.76
3444,2,20.6,9.47,0.42
1298,5,8.0,5.89,0.33
1508,3,21.8,8.36,0.62
1755,1,0.3,8.96,0.86
2077,3,11.4,8.73,0.6
1984,2,2.7,7.63,0.77
2698,1,10.8,8.38,0.68
500,5,6.3,7.23,0.68
500,0,10.3,7.02,0.73
1452,1,6.1,8.57,0.71
2568,1,0.5,8.49,1.0
704,3,19.2,7.61,0.76
500,0,11.4,5.4,0.85
2199,3,14.1,7.37,0.6
1970,2,19.5,7.61,0.72
1036,2,8.2,8.34,0.68
1110,4,18.8,9.15,0.7
1121,1,4.1,6.51,0.65
1877,6,15.2,7.96,0.43
1361,2,2.3,9.01,1.0
2145,1,18.5,9.99,0.76
500,1,8.0,8.4,0.62
1200,1,5.4,7.26,0.62
1011,0,17.6,7.17,0.66
1620,1,12.4,8.1,0.6
1423,3,7.8,6.61,0.53
2358,5,11.2,8.42,0.6
500,4,13.8,8.73,0.85
1831,0,20.3,8.91,0.47
2190,1,5.1,4.53,0.61
3099,2,14.0,8.19,0.57
1462,3,10.1,8.49,0.61
2027,2,15.2,8.87,0.6
537,0,6.5,6.69,0.77
500,2,9.6,6.89,0.61
2391,1,1.0,4.61,0.77
1796,2,9.7,5.86,0.75
838,2,4.8,5.23,0.74
2163,2,9.3,9.1,0.36
3108,4,12.9,8.94,0.63
2093,2,15.5,7.85,0.46
1993,1,9.4,6.83,0.61
1805,2,16.8,8.77,0.7
700,4,8.6,6.97,0.67
2748,1,9.2,6.56,0.7
1372,1,8.9,8.13,0.59
2153,3,8.7,7.75,0.67
705,3,11.7,8.0,0.96
974,1,5.3,7.68,0.82
2804,2,14.3,7.54,0.89
1556,6,8.7,9.78,0.51
2817,4,5.1,10.72,0.51
1745,1,4.2,6.11,0.84
510,1,9.5,5.35,1.0
2424,4,15.0,8.82,0.52
1387,2,7.1,5.37,0.61
2289,2,13.1,9.47,0.89
1817,2,0.0,7.19,0.51
719,2,8.5,5.96,0.67
1915,4,10.1,9.26,0.87
3337,1,10.9,7.02,0.74
2145,1,14.3,5.38,0.44
2552,3,11.0,8.74,0.42
1947,4,0.0,6.76,0.74
1946,5,14.4,7.88,0.49
1035,2,9.1,5.92,0.87
1963,1,11.2,9.15,0.65
2524,3,13.9,10.57,0.69
1214,2,7.4,6.67,0.52
2797,3,5.4,7.92,0.67
1735,6,18.4,8.36,0.61
1178,0,13.9,7.56,0.71
2498,7,19.5,10.88,0.71
1599,2,13.0,6.63,0.61
2331,2,10.9,9.21,0.59
1595,5,18.7,10.88,0.58
1758,3,5.7,7.42,0.86
2145,3,13.5,9.07,0.58
2003,2,6.3,7.51,0.74
500,3,4.4,6.78,0.77
1015,1,15.0,7.61,0.95
2450,3,7.9,10.79,0.5
1707,3,13.6,7.85,0.6
1433,1,13.1,7.76,0.89
848,0,8.5,6.94,0.63
1044,3,7.3,6.68,0.85
500,3,19.2,7.09,0.9
1729,4,4.6,9.02,0.8
1381,2,11.4,9.03,0.61
1123,0,17.9,9.35,0.78
1752,1,17.2,8.98,0.8
2054,1,5.8,6.47,0.8
3265,2,16.7,9.56,0.62
741,2,5.6,6.87,0.78
2611,2,6.6,6.65,0.84
2481,3,14.5,8.23,0.82
1254,2,5.2,7.35,0.7
1942,6,11.4,11.28,0.28
1479,6,13.9,10.03,0.55
1929,4,13.9,7.74,0.42
2856,1,8.4,8.71,0.79
2223,5,12.4,11.37,0.51
2156,2,5.6,8.03,0.65
1498,1,0.0,7.0,0.64
761,1,3.5,5.95,0.96
1654,2,16.5,8.2,0.82
2644,5,15.2,8.84,0.58
730,1,10.6,6.36,0.9
1061,2,15.2,8.0,0.81
1888,4,11.4,8.98,0.78
1110,2,14.2,8.08,0.33
1245,5,17.9,9.18,0.98
1503,1,5.3,5.73,0.9
844,3,15.5,9.47,0.64
1118,1,10.8,6.42,0.86
2292,4,8.5,7.66,0.61
884,1,18.2,5.83,0.89
681,1,13.6,6.96,0.78
1358,3,6.6,5.24,0.44
2312,1,8.9,4.53,0.64
1662,3,8.4,10.12,0.89
1474,1,16.7,6.01,0.58
1831,3,7.9,7.01,0.69
578,1,12.1,6.37,0.95
2146,5,9.5,9.22,0.78
2068,2,18.8,8.22,0.63
1513,1,12.4,7.32,0.66
2504,2,13.4,5.29,0.49
1010,3,13.0,9.75,0.78
2589,3,11.9,7.72,0.62
1908,6,4.0,10.21,0.61
1564,5,16.9,7.47,1.0
1786,5,14.6,10.06,0.62
1724,0,1.5,6.04,0.86
2654,2,11.5,7.66,0.82
1046,0,2.1,6.8,0.68
1266,0,16.7,7.9,0.72
2525,5,14.3,9.67,0.46
1383,3,11.6,8.31,0.55
2430,3,14.5,9.92,0.66
2989,4,10.6,7.91,0.6
1518,3,10.8,9.48,0.54
2276,5,12.1,11.36,0.55
992,1,5.2,5.7,0.56
2328,5,10.4,6.97,0.53
1939,3,11.5,9.62,0.8
2131,5,12.3,6.94,0.69
1348,3,13.2,6.66,0.63
637,2,4.0,4.36,0.44
2152,4,8.2,8.64,0.81
500,5,14.5,6.87,0.6
1577,1,12.8,7.66,0.85
2458,1,7.9,8.57,0.46
1934,1,7.8,7.81,0.86
3163,5,14.0,10.5,0.36
2517,4,13.3,9.1,0.62
1342,3,19.7,9.53,0.56
1819,4,15.4,8.87,0.56
1766,2,7.3,8.14,0.63
1141,4,13.7,7.26,0.56
1407,3,3.7,9.82,0.67
500,4,1.0,7.7,0.65
1833,4,16.4,9.28,0.64
1625,4,8.1,8.82,0.76
628,4,18.6,8.26,0.7
2082,2,12.2,7.21,0.77
2301,3,11.2,6.46,0.83
1958,1,8.6,7.03,0.74
1573,2,8.6,6.18,1.0
2214,6,8.4,8.91,0.69
2276,2,8.2,8.47,0.64
2015,2,3.3,6.05,0.73
1222,5,18.4,6.24,0.78
1993,3,13.9,7.06,0.48
2636,4,11.8,8.83,0.34
1382,2,12.0,9.53,0.69
3268,1,14.4,10.09,0.29
1432,1,0.0,9.57,0.63
1822,1,8.2,5.97,0.72
1329,1,8.0,4.78,0.78
1956,3,11.6,8.32,0.47
580,0,5.0,6.05,1.0
1417,0,11.1,9.36,0.78
1035,2,15.0,6.11,0.54
1894,1,8.4,7.22,0.86
2496,3,16.7,10.79,0.57
2252,0,10.2,8.27,0.9
500,1,7.8,5.5,0.94
3229,1,10.0,8.0,0.66
2006,5,12.3,9.27,0.61
1256,2,13.0,6.27,0.84
1909,2,15.6,7.84,0.72
1923,3,15.8,9.27,0.79
1333,3,13.0,7.92,0.59
1938,5,20.2,11.4,1.0
1374,1,8.5,7.85,0.62
1516,5,17.8,9.27,0.63
1319,2,5.7,6.92,0.57
1902,3,14.4,7.47,0.66
2209,6,13.8,9.81,0.43
2373,4,12.6,10.27,0.8
2027,1,17.9,7.23,0.46
1427,0,9.3,7.84,0.99
2387,7,2.9,8.43,0.54
849,3,5.5,4.57,0.47
1169,2,10.4,9.0,0.63
1125,2,2.9,7.16,0.84
2556,2,9.6,9.63,0.68
2459,3,15.9,9.51,0.58
2141,3,15.8,8.57,0.61
2550,3,15.3,8.23,0.57
1184,0,0.0,6.04,0.72
2044,1,13.4,7.57,0.54
1712,1,10.4,6.19,0.72
2392,3,23.4,9.83,0.64
1719,3,9.0,6.48,0.74
1530,1,12.9,9.3,0.68
2178,1,6.3,7.67,0.66
2413,3,8.3,6.57,0.55
1332,2,14.1,7.55,0.83
1757,2,2.9,8.08,0.74
1059,1,4.0,6.2,1.0
